person_number,work_date,pay_code,hours,job,labor_level_1,labor_level_2,labor_level_3,shift_count
CNA001,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA1/CNA,UNITED_HEBREW,U-SA1,CNA,1
CNA002,2026-02-01,REG,7.50,UNITED_HEBREW/U-SA1/CNA,UNITED_HEBREW,U-SA1,CNA,1
CNA005,2026-01-31,REG,8.00,UNITED_HEBREW/U-SA3/CNA,UNITED_HEBREW,U-SA3,CNA,1
CNA005,2026-01-31,OT,7.75,UNITED_HEBREW/U-SA3/CNA,UNITED_HEBREW,U-SA3,CNA,0
CNA006,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA4/CNA,UNITED_HEBREW,U-SA4,CNA,1
CNA006,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA4/CNA,UNITED_HEBREW,U-SA4,CNA,1
CNA007,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA008,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA009,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA010,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA010,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT2/CNA,UNITED_HEBREW,U-LT2,CNA,1
CNA011,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT3/CNA,UNITED_HEBREW,U-LT3,CNA,1
CNA013,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT4/CNA,UNITED_HEBREW,U-LT4,CNA,1
CNA016,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/CNA,UNITED_HEBREW,U-SA1,CNA,1
CNA017,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/CNA,UNITED_HEBREW,U-SA1,CNA,1
CNA018,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/CNA,UNITED_HEBREW,U-SA1,CNA,1
CNA019,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/CNA,UNITED_HEBREW,U-SA1,CNA,1
CNA020,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/CNA,UNITED_HEBREW,U-SA1,CNA,1
CNA021,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA1/CNA,UNITED_HEBREW,U-SA1,CNA,1
CNA021,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/CNA,UNITED_HEBREW,U-SA1,CNA,1
CNA022,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA1/CNA,UNITED_HEBREW,U-SA1,CNA,1
CNA024,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA1/CNA,UNITED_HEBREW,U-SA1,CNA,1
CNA025,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA027,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA027,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA028,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA028,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA029,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA030,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA030,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA031,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA031,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA032,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA033,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA033,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA034,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA034,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA2/CNA,UNITED_HEBREW,U-SA2,CNA,1
CNA035,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/CNA,UNITED_HEBREW,U-SA3,CNA,1
CNA036,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/CNA,UNITED_HEBREW,U-SA3,CNA,1
CNA037,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA3/CNA,UNITED_HEBREW,U-SA3,CNA,1
CNA037,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/CNA,UNITED_HEBREW,U-SA3,CNA,1
CNA038,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/CNA,UNITED_HEBREW,U-SA3,CNA,1
CNA039,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA3/CNA,UNITED_HEBREW,U-SA3,CNA,1
CNA039,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/CNA,UNITED_HEBREW,U-SA3,CNA,1
CNA040,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA3/CNA,UNITED_HEBREW,U-SA3,CNA,1
CNA040,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA3/CNA,UNITED_HEBREW,U-SA3,CNA,1
CNA041,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA4/CNA,UNITED_HEBREW,U-SA4,CNA,1
CNA042,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA4/CNA,UNITED_HEBREW,U-SA4,CNA,1
CNA042,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA4/CNA,UNITED_HEBREW,U-SA4,CNA,1
CNA043,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA4/CNA,UNITED_HEBREW,U-SA4,CNA,1
CNA044,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA4/CNA,UNITED_HEBREW,U-SA4,CNA,1
CNA045,2026-01-31,REG,7.75,UNITED_HEBREW/U-SA4/CNA,UNITED_HEBREW,U-SA4,CNA,1
CNA045,2026-02-01,REG,7.75,UNITED_HEBREW/U-SA4/CNA,UNITED_HEBREW,U-SA4,CNA,1
CNA047,2026-02-01,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
CNA048,2026-01-31,REG,7.75,UNITED_HEBREW/U-LT1/CNA,UNITED_HEBREW,U-LT1,CNA,1
