person_number,pay_period_start,pay_period_end,regular_hours,overtime_hours,doubletime_hours,holiday_hours,sick_hours,pto_hours,shift_count,missed_punch_count
CNA001,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA002,2026-01-19,2026-02-01,7.50,0.00,0.00,0.00,0.00,0.00,1,0
CNA005,2026-01-19,2026-02-01,8.00,7.75,0.00,0.00,0.00,0.00,1,0
CNA006,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA007,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA008,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA009,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA010,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA011,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA013,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA016,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA017,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA018,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA019,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA020,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA021,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA022,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA024,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA025,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA027,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA028,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA029,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA030,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA031,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA032,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA033,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA034,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA035,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA036,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA037,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA038,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA039,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA040,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA041,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA042,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA043,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA044,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA045,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA047,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA048,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA049,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA050,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA051,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA052,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA053,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA054,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA055,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA056,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA057,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA058,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA060,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA062,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA063,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA064,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA065,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA066,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA068,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA070,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA071,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA072,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA073,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA074,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA075,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA076,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA077,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA078,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA079,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA080,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA081,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA082,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA083,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA084,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA085,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA087,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA088,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA090,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA091,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA092,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA093,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA094,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA095,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA096,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA097,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA098,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA100,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA102,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA103,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA105,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA106,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA107,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA108,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA109,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
CNA110,2026-01-19,2026-02-01,7.75,0.00,0.00,0.00,0.00,0.00,1,0
CNA111,2026-01-19,2026-02-01,15.50,0.00,0.00,0.00,0.00,0.00,2,0
